,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4578,197,5200,4491,180,5232,4377,234,5208,4290,243,5198,4161,252,5207,4117,250,5207,3988,239,5198,3901,221,5187,3770,221,5189,3704,209,5189,3590,174,5223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4578,197,5200,4491,180,5232,4377,234,5208,4290,243,5198,4161,252,5207,4117,250,5207,3988,239,5198,3901,221,5187,3770,221,5189,3704,209,5189,3590,174,5223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4574,396,5213,4448,405,5192,4363,432,5192,4280,439,5191,4177,450,5201,4117,427,5153,3993,422,5163,3910,396,5173,3808,418,5182,3703,403,5203,3599,407,5184
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4551,574,5200,4472,569,5228,4371,599,5163,4272,592,5163,4175,588,5163,4096,622,5200,3979,602,5163,3919,584,5172,3802,592,5172,3701,573,5209,3618,555,5181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4535,701,5155,4513,720,5146,4358,746,5148,4264,751,5166,4171,751,5148,4096,769,5158,3984,760,5140,3909,747,5157,3795,733,5166,3719,738,5182,3621,712,5164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4532,866,5134,4439,875,5201,4349,874,5152,4257,906,5145,4167,913,5178,4096,902,5145,3988,889,5144,3898,885,5152,3809,883,5160,3737,890,5160,3627,888,5177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4512,1012,5155,4424,1013,5189,4334,1057,5158,4249,1041,5166,4165,1045,5175,4096,1040,5150,3993,1026,5149,3909,1050,5175,3805,1041,5134,3751,1020,5157,3594,1025,5155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4494,1148,5154,4422,1187,5209,4323,1187,5149,4257,1214,5166,4161,1182,5134,4096,1189,5143,3983,1214,5152,3884,1180,5141,3816,1166,5155,3749,1150,5146,3619,1180,5178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4490,1297,5162,4362,1312,5141,4328,1333,5150,4252,1313,5135,4158,1319,5128,4096,1309,5135,3987,1310,5135,3893,1315,5135,3832,1318,5149,3749,1286,5139,3639,1295,5131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4486,1427,5127,4467,1459,5130,4317,1460,5131,4244,1445,5137,4156,1451,5131,4096,1464,5159,3962,1436,5130,3905,1468,5172,3832,1477,5159,3751,1429,5121,3648,1447,5155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4478,1579,5132,4404,1603,5148,4304,1620,5157,4236,1596,5111,4138,1611,5112,4081,1607,5125,3970,1593,5122,3900,1592,5148,3814,1584,5134,3742,1578,5120,3656,1585,5145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4458,1715,5150,4390,1711,5126,4308,1729,5135,4227,1742,5136,4149,1722,5122,4083,1721,5122,3976,1725,5122,3897,1728,5135,3831,1734,5135,3763,1724,5132,3650,1707,5117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437,1848,5150,4387,1840,5109,4307,1875,5131,4220,1880,5127,4145,1902,5146,4071,1876,5127,3983,1854,5107,3909,1864,5125,3833,1862,5130,3752,1836,5114,3660,1827,5135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4442,1973,5128,4378,1941,5154,4294,2014,5136,4224,2026,5148,4154,2005,5136,4072,2032,5144,3989,1984,5107,3907,1987,5117,3843,1957,5102,3754,1999,5148,3660,1962,5121
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4430,2123,5141,4362,2123,5137,4285,2112,5112,4217,2126,5114,4139,2137,5136,4074,2133,5112,3985,2114,5118,3919,2119,5118,3852,2123,5127,3770,2104,5128,3664,2092,5130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4422,2233,5117,4363,2272,5137,4281,2255,5122,4209,2257,5128,4148,2248,5113,4075,2274,5131,3982,2240,5117,3912,2272,5135,3850,2268,5137,3769,2227,5102,3680,2216,5126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4431,2352,5121,4359,2361,5123,4280,2365,5113,4208,2415,5139,4143,2402,5134,4076,2375,5116,3971,2380,5116,3920,2352,5116,3855,2378,5127,3796,2382,5143,3681,2360,5114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4418,2466,5134,4336,2515,5144,4264,2508,5136,4202,2511,5143,4140,2517,5148,4069,2469,5127,3987,2472,5127,3915,2488,5134,3854,2506,5139,3782,2461,5113,3691,2444,5120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4398,2612,5152,4323,2649,5137,4250,2649,5144,4200,2656,5141,4136,2616,5121,4071,2653,5141,3998,5553,5131,3930,2622,5127,3861,2611,5123,3779,2630,5143,3712,2600,5143