63,100,151,220,301,396,493,586,662,714,730,714,662,586,493,396,301,220,151,100,63
100,160,242,350,482,631,787,935,1056,1137,1165,1137,1056,935,787,631,482,350,242,160,100
151,242,368,531,730,958,1195,1419,1605,1728,1770,1728,1605,1419,1195,958,730,531,368,242,151
220,350,531,768,1056,1385,1728,2052,2320,2498,2560,2498,2320,2052,1728,1385,1056,768,531,350,220
301,482,730,1056,1455,1906,2378,2824,3194,3439,3524,3439,3194,2824,2378,1906,1455,1056,730,482,301
396,631,958,1385,1906,2498,3116,3702,4185,4506,4618,4506,4185,3702,3116,2498,1906,1385,958,631,396
493,787,1195,1728,2378,3116,3889,4618,5222,5622,5762,5622,5222,4618,3889,3116,2378,1728,1195,787,493
586,935,1419,2052,2824,3702,4618,5486,6204,6678,6845,6678,6204,5486,4618,3702,2824,2052,1419,935,586
662,1056,1605,2320,3194,4185,5222,6204,7015,7552,7740,7552,7015,6204,5222,4185,3194,2320,1605,1056,662
714,1137,1728,2498,3439,4506,5622,6678,7552,8130,8332,8130,7552,6678,5622,4506,3439,2498,1728,1137,714
730,1165,1770,2560,3524,4618,5762,6845,7740,8332,8540,8332,7740,6845,5762,4618,3524,2560,1770,1165,730
714,1137,1728,2498,3439,4506,5622,6678,7552,8130,8332,8130,7552,6678,5622,4506,3439,2498,1728,1137,714
662,1056,1605,2320,3194,4185,5222,6204,7015,7552,7740,7552,7015,6204,5222,4185,3194,2320,1605,1056,662
586,935,1419,2052,2824,3702,4618,5486,6204,6678,6845,6678,6204,5486,4618,3702,2824,2052,1419,935,586
493,787,1195,1728,2378,3116,3889,4618,5222,5622,5762,5622,5222,4618,3889,3116,2378,1728,1195,787,493
396,631,958,1385,1906,2498,3116,3702,4185,4506,4618,4506,4185,3702,3116,2498,1906,1385,958,631,396
301,482,730,1056,1455,1906,2378,2824,3194,3439,3524,3439,3194,2824,2378,1906,1455,1056,730,482,301
220,350,531,768,1056,1385,1728,2052,2320,2498,2560,2498,2320,2052,1728,1385,1056,768,531,350,220
151,242,368,531,730,958,1195,1419,1605,1728,1770,1728,1605,1419,1195,958,730,531,368,242,151
100,160,242,350,482,631,787,935,1056,1137,1165,1137,1056,935,787,631,482,350,242,160,100
63,100,151,220,301,396,493,586,662,714,730,714,662,586,493,396,301,220,151,100,63