71,119,189,284,399,528,656,766,840,867,840,766,656,528,399,284,189,119,71
119,202,321,481,676,895,1112,1299,1426,1471,1426,1299,1112,895,676,481,321,202,119
189,321,511,766,1077,1426,1772,2070,2272,2344,2272,2070,1772,1426,1077,766,511,321,189
284,481,766,1147,1614,2135,2654,3100,3403,3511,3403,3100,2654,2135,1614,1147,766,481,284
399,676,1077,1614,2273,3006,3737,4365,4791,4942,4791,4365,3737,3006,2273,1614,1077,676,399
528,895,1426,2135,3006,3976,4942,5773,6338,6537,6338,5773,4942,3976,3006,2135,1426,895,528
656,1112,1772,2654,3737,4942,6144,7177,7878,8127,7878,7177,6144,4942,3737,2654,1772,1112,656
766,1299,2070,3100,4365,5773,7177,8384,9203,9493,9203,8384,7177,5773,4365,3100,2070,1299,766
840,1426,2272,3403,4791,6338,7878,9203,10102,10421,10102,9203,7878,6338,4791,3403,2272,1426,840
867,1471,2344,3511,4942,6537,8127,9493,10421,10751,10421,9493,8127,6537,4942,3511,2344,1471,867
840,1426,2272,3403,4791,6338,7878,9203,10102,10421,10102,9203,7878,6338,4791,3403,2272,1426,840
766,1299,2070,3100,4365,5773,7177,8384,9203,9493,9203,8384,7177,5773,4365,3100,2070,1299,766
656,1112,1772,2654,3737,4942,6144,7177,7878,8127,7878,7177,6144,4942,3737,2654,1772,1112,656
528,895,1426,2135,3006,3976,4942,5773,6338,6537,6338,5773,4942,3976,3006,2135,1426,895,528
399,676,1077,1614,2273,3006,3737,4365,4791,4942,4791,4365,3737,3006,2273,1614,1077,676,399
284,481,766,1147,1614,2135,2654,3100,3403,3511,3403,3100,2654,2135,1614,1147,766,481,284
189,321,511,766,1077,1426,1772,2070,2272,2344,2272,2070,1772,1426,1077,766,511,321,189
119,202,321,481,676,895,1112,1299,1426,1471,1426,1299,1112,895,676,481,321,202,119
71,119,189,284,399,528,656,766,840,867,840,766,656,528,399,284,189,119,71